Development Name,Borough,Account Name,Location,Meter AMR,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Rate Class,Bill Analyzed,Consumption (Therms),ES Commodity,Underlying Utility
45 ALLEN STREET,MANHATTAN,ALLEN STREET,BLD 01,NONE,265,380,M026500,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8732172,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3491306,N,171.61,TR I NR,Yes,254.72,UTILITY GAS,ConEd
45 ALLEN STREET,MANHATTAN,ALLEN STREET,BLD 01,NONE,265,380,M026500,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8732172,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3510721,N,103.94,TR I NR,Yes,154.28,UTILITY GAS,ConEd
45 ALLEN STREET,MANHATTAN,ALLEN STREET,BLD 01,NONE,265,380,M026500,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8820338,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,3491306,N,168.25,TR I NR,Exception,253.81,UTILITY GAS,ConEd
45 ALLEN STREET,MANHATTAN,ALLEN STREET,BLD 01,NONE,265,380,M026500,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8820338,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,3510721,N,118.11,TR I NR,Exception,178.19,UTILITY GAS,ConEd
45 ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,265,380,M026500,FEDERAL,NY005011000P,EAST COAST POWER & GAS,8597888,2020-02-01T00:00:00.000,1/21/2020,2/16/2020,26,4.95E+14,N,134.31,,Yes,444,BROKERED GAS,ConEd
45 ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,265,380,M026500,FEDERAL,NY005011000P,EAST COAST POWER & GAS,8710843,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,4.95E+14,N,134.66,,Yes,444,BROKERED GAS,ConEd
45 ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,265,380,M026500,FEDERAL,NY005011000P,EAST COAST POWER & GAS,8824876,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,4.95E+14,N,131.03,,Yes,432,BROKERED GAS,ConEd
45 ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,265,380,M026500,FEDERAL,NY005011000P,EAST COAST POWER & GAS,8926163,2020-05-01T00:00:00.000,4/23/2020,5/22/2020,29,4.95E+14,N,128.9,,Yes,425,BROKERED GAS,ConEd
AMSTERDAM,MANHATTAN,AMSTERDAM,,Not Applicable,22,530,M002200,FEDERAL,NY005010220P,EAST COAST POWER & GAS,8598023,2020-02-01T00:00:00.000,1/21/2020,2/16/2020,26,4.95E+14,N,996.36,,Yes,3293.96,BROKERED GAS,ConEd
AMSTERDAM,MANHATTAN,AMSTERDAM,,Not Applicable,22,530,M002200,FEDERAL,NY005010220P,EAST COAST POWER & GAS,8710633,2020-03-01T00:00:00.000,2/24/2020,3/24/2020,29,4.95E+14,N,1146.79,,Yes,3781,BROKERED GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,NONE,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8648791,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3318424,Y,442.51,TR I NR,Yes,737.15,UTILITY GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,NONE,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8648791,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3521972,Y,14.32,TR I NR,Yes,23.85,UTILITY GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,NONE,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8724779,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3318424,Y,390.01,TR I NR,Yes,652.64,UTILITY GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,NONE,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8724779,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3521972,Y,6.19,TR I NR,Yes,10.36,UTILITY GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,NONE,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8827947,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,3318424,Y,376.76,TR I NR,Yes,628.64,UTILITY GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,NONE,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8827947,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,3521972,Y,6.21,TR I NR,Yes,10.36,UTILITY GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,,Not Applicable,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,EAST COAST POWER & GAS,8598024,2020-02-01T00:00:00.000,1/21/2020,2/16/2020,26,4.95E+14,N,198.73,,Yes,657,BROKERED GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,,Not Applicable,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,EAST COAST POWER & GAS,8710973,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,4.95E+14,N,604.17,,Yes,1992,BROKERED GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,,Not Applicable,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,EAST COAST POWER & GAS,8825134,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,4.95E+14,N,193.81,,Yes,639,BROKERED GAS,ConEd
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,,Not Applicable,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,EAST COAST POWER & GAS,8926418,2020-05-01T00:00:00.000,4/23/2020,5/22/2020,29,4.95E+14,N,199.27,,Yes,657,BROKERED GAS,ConEd
830 AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,BLD 01,NONE,150,258,M015000,FEDERAL,NY005010820P,CONSOLIDATED EDISON COMPANY OF NY,8648778,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3691302,Y,282.55,TR I NR,Yes,467.66,UTILITY GAS,ConEd
830 AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,BLD 01,NONE,150,258,M015000,FEDERAL,NY005010820P,CONSOLIDATED EDISON COMPANY OF NY,8648778,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3798918,Y,158.51,TR I NR,Yes,262.34,UTILITY GAS,ConEd
830 AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,BLD 01,NONE,150,258,M015000,FEDERAL,NY005010820P,CONSOLIDATED EDISON COMPANY OF NY,8735229,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3691302,Y,351.72,TR I NR,Yes,598.96,UTILITY GAS,ConEd
830 AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,BLD 01,NONE,150,258,M015000,FEDERAL,NY005010820P,CONSOLIDATED EDISON COMPANY OF NY,8735229,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3798918,Y,84.58,TR I NR,Yes,144.04,UTILITY GAS,ConEd
830 AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,BLD 01,NONE,150,258,M015000,FEDERAL,NY005010820P,CONSOLIDATED EDISON COMPANY OF NY,8827928,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,3691302,Y,350.59,TR I NR,Yes,598.96,UTILITY GAS,ConEd
830 AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,BLD 01,NONE,150,258,M015000,FEDERAL,NY005010820P,CONSOLIDATED EDISON COMPANY OF NY,8827928,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,3798918,Y,84.31,TR I NR,Yes,144.04,UTILITY GAS,ConEd
830 AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,,Not Applicable,150,258,M015000,FEDERAL,NY005010820P,EAST COAST POWER & GAS,8598028,2020-02-01T00:00:00.000,1/21/2020,2/16/2020,26,4.95E+14,N,169.08,,Yes,559,BROKERED GAS,ConEd
